Close,ClassificationValue
26.51,-1
26.57,-1
26.690001,1
26.690001,1
26.57,1
26.559999,-1
26.620001,-1
26.73,-1
26.809999,1
26.790001,1
26.6,1
26.469999,1
26.42,-1
26.559999,-1
26.66,-1
26.690001,-1
26.940001,-1
27.17,-1
27.209999,-1
27.26,1
27.01,-1
27.110001,-1
27.379999,1
27.379999,-1
27.57,-1
27.639999,-1
27.85,-1
27.940001,1
27.76,1
27.75,1
27.639999,-1
27.68,-1
27.780001,-1
27.879999,1
27.709999,-1
27.76,-1
28.18,-1
28.26,1
28.209999,-1
28.280001,-1
28.290001,-1
28.51,-1
28.65,1
28.620001,1
28.49,-1
28.719999,1
28.559999,-1
28.799999,-1
28.84,-1
28.85,1
28.719999,-1
28.82,-1
28.99,-1
29.0,1
28.93,-1
29.17,1
29.049999,-1
29.190001,1
29.190001,1
29.16,1
29.15,1
29.1,1
28.99,1
28.34,1
28.15,-1
28.34,-1
28.58,-1
28.620001,-1
28.83,-1
29.040001,1
28.959999,-1
29.040001,-1
29.059999,-1
29.08,-1
29.129999,-1
29.26,1
29.200001,-1
29.280001,-1
29.43,1
29.209999,1
29.209999,-1
29.59,-1
29.92,-1
29.940001,1
29.940001,-1
30.139999,1
30.120001,1
30.02,-1
30.09,-1
30.190001,1
30.059999,1
29.98,1
29.84,-1
30.030001,-1
30.27,-1
30.309999,-1
30.34,-1
30.52,-1
30.58,-1
30.690001,-1
30.879999,-1
30.99,1
30.93,1
30.9,1
30.77,1
30.379999,1
30.120001,-1
30.370001,-1
30.719999,1
30.59,-1
30.719999,-1
31.049999,-1
31.120001,1
31.09,-1
31.16,-1
31.209999,1
31.0,1
30.870001,1
30.65,1
30.57,-1
30.66,1
30.35,1
29.83,-1
30.040001,-1
30.27,-1
30.5,-1
30.66,-1
30.68,-1
30.73,-1
30.84,-1
31.120001,-1
31.280001,-1
31.290001,-1
31.459999,-1
31.709999,1
31.57,-1
31.790001,-1
32.0,-1
32.18,-1
32.400002,-1
32.529999,-1
32.689999,1
32.5,1
32.310001,1
32.290001,-1
32.470001,-1
32.630001,-1
32.759998,1
32.689999,1
32.669998,1
32.41,1
32.279999,1
32.27,1
31.879999,1
31.709999,-1
31.83,-1
31.91,-1
32.169998,1
32.130001,1
32.130001,1
31.959999,1
31.940001,-1
32.02,1
31.879999,1
31.68,-1
31.790001,-1
32.439999,-1
32.82,1
32.709999,-1
33.02,-1
33.150002,-1
33.18,-1
33.470001,-1
33.540001,1
33.470001,-1
33.57,-1
33.630001,1
33.439999,-1
33.450001,-1
33.580002,-1
34.029999,-1
34.220001,-1
34.549999,1
34.540001,1
34.240002,1
33.990002,-1
34.18,-1
34.490002,-1
34.759998,-1
34.919998,1
34.860001,1
34.689999,1
34.560001,-1
34.59,1
34.349998,-1
34.560001,-1
34.93,-1
35.919998,1
35.330002,-1
35.380001,1
35.34,-1
35.369999,1
35.07,-1
35.43,-1
35.740002,1
35.740002,-1
35.98,-1
36.75,1
36.419998,1
35.52,1
35.040001,-1
35.330002,-1
35.790001,1
35.68,1
35.580002,1
35.43,1
35.279999,1
34.580002,-1
34.799999,-1
34.959999,-1
35.130001,-1
35.439999,-1
35.52,1
35.509998,-1
35.950001,-1
35.990002,-1
36.189999,-1
